time,Pipe-T,Ambient-T,Heater-PWM,Fan-PWM,Traj y,Traj dy,Traj ddy,Dist y
0.001,18.095483870967744,16.934193548387096,0.0,0.0,0.0,0.0,0.0,0.25
0.02,18.998709677419356,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
0.04,17.966451612903228,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
0.06,19.772903225806452,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
0.08,19.127741935483872,19.51483870967742,0.0,0.25,0.0,0.0,0.0,0.25
0.1,17.450322580645164,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
0.12,18.611612903225808,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.14,17.966451612903228,16.934193548387096,0.0,0.25,0.0,0.0,0.0,0.25
0.16,19.385806451612904,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
0.18,17.966451612903228,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
0.2,18.353548387096776,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
0.22,17.966451612903228,16.418064516129032,0.0,0.25,0.0,0.0,0.0,0.25
0.24,17.450322580645164,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
0.26,18.22451612903226,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
0.28,18.611612903225808,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
0.3,19.127741935483872,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
0.32,19.385806451612904,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
0.34,17.966451612903228,16.547096774193548,0.0,0.25,0.0,0.0,0.0,0.25
0.36,18.86967741935484,18.998709677419356,0.0,0.25,0.0,0.0,0.0,0.25
0.38,19.127741935483872,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.4,18.86967741935484,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.42,18.611612903225808,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
0.44,18.998709677419356,19.127741935483872,0.0,0.25,0.0,0.0,0.0,0.25
0.46,18.740645161290324,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
0.48,18.482580645161292,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.5,17.450322580645164,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
